W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/surrogate-data-collection/runs/4rg2te4h
[monitor] 32,724/50,000,000 (0.1%) | FPS cur=24 roll=27 | ETA 522.4h | NaN=11 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 33,564/50,000,000 (0.1%) | FPS cur=28 roll=27 | ETA 521.8h | NaN=11 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 34,572/50,000,000 (0.1%) | FPS cur=34 roll=27 | ETA 518.6h | NaN=11 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 35,576/50,000,000 (0.1%) | FPS cur=33 roll=27 | ETA 515.7h | NaN=11 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 36,520/50,000,000 (0.1%) | FPS cur=31 roll=27 | ETA 513.8h | NaN=11 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 37,308/50,000,000 (0.1%) | FPS cur=26 roll=27 | ETA 514.1h | NaN=11 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 38,128/50,000,000 (0.1%) | FPS cur=27 roll=27 | ETA 514.0h | NaN=11 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 39,100/50,000,000 (0.1%) | FPS cur=32 roll=27 | ETA 511.8h | NaN=11 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 40,232/50,000,000 (0.1%) | FPS cur=38 roll=27 | ETA 507.8h | NaN=12 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 41,196/50,000,000 (0.1%) | FPS cur=32 roll=27 | ETA 506.0h | NaN=12 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 42,176/50,000,000 (0.1%) | FPS cur=33 roll=28 | ETA 504.1h | NaN=14 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 43,068/50,000,000 (0.1%) | FPS cur=30 roll=28 | ETA 503.4h | NaN=14 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 43,944/50,000,000 (0.1%) | FPS cur=29 roll=28 | ETA 502.8h | NaN=14 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 44,880/50,000,000 (0.1%) | FPS cur=31 roll=28 | ETA 501.6h | NaN=14 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 45,908/50,000,000 (0.1%) | FPS cur=34 roll=28 | ETA 499.4h | NaN=15 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 47,028/50,000,000 (0.1%) | FPS cur=37 roll=28 | ETA 496.4h | NaN=15 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 48,044/50,000,000 (0.1%) | FPS cur=34 roll=28 | ETA 494.6h | NaN=15 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 49,132/50,000,000 (0.1%) | FPS cur=36 roll=28 | ETA 492.1h | NaN=15 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 50,092/50,000,000 (0.1%) | FPS cur=32 roll=28 | ETA 491.0h | NaN=16 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 51,056/50,000,000 (0.1%) | FPS cur=32 roll=28 | ETA 489.9h | NaN=17 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 52,076/50,000,000 (0.1%) | FPS cur=34 roll=28 | ETA 488.3h | NaN=17 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 53,140/50,000,000 (0.1%) | FPS cur=35 roll=29 | ETA 486.3h | NaN=17 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 54,204/50,000,000 (0.1%) | FPS cur=35 roll=29 | ETA 484.5h | NaN=17 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 55,240/50,000,000 (0.1%) | FPS cur=34 roll=29 | ETA 482.9h | NaN=17 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 56,308/50,000,000 (0.1%) | FPS cur=35 roll=29 | ETA 481.2h | NaN=18 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 57,320/50,000,000 (0.1%) | FPS cur=34 roll=29 | ETA 479.9h | NaN=19 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 58,324/50,000,000 (0.1%) | FPS cur=33 roll=29 | ETA 478.8h | NaN=19 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 59,380/50,000,000 (0.1%) | FPS cur=35 roll=29 | ETA 477.3h | NaN=19 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 60,464/50,000,000 (0.1%) | FPS cur=36 roll=29 | ETA 475.6h | NaN=20 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 61,636/50,000,000 (0.1%) | FPS cur=39 roll=29 | ETA 473.4h | NaN=20 respawns=0 | disk 0.0GB used, 41.8GB free
[monitor] 62,680/50,000,000 (0.1%) | FPS cur=35 roll=29 | ETA 472.1h | NaN=21 respawns=0 | disk 0.0GB used, 41.8GB free
