W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/snake-surrogate-data/runs/03jdvkk9
[monitor] 52,909/50,000,000 (0.1%) | FPS cur=45 roll=43 | ETA 323.0h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 54,362/50,000,000 (0.1%) | FPS cur=48 roll=43 | ETA 322.1h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 55,758/50,000,000 (0.1%) | FPS cur=46 roll=43 | ETA 321.5h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 57,085/50,000,000 (0.1%) | FPS cur=44 roll=43 | ETA 321.3h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 58,541/50,000,000 (0.1%) | FPS cur=48 roll=43 | ETA 320.5h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 60,039/50,000,000 (0.1%) | FPS cur=50 roll=43 | ETA 319.4h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 61,300/50,000,000 (0.1%) | FPS cur=42 roll=43 | ETA 319.6h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 62,671/50,000,000 (0.1%) | FPS cur=46 roll=43 | ETA 319.3h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 64,159/50,000,000 (0.1%) | FPS cur=49 roll=44 | ETA 318.4h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 65,423/50,000,000 (0.1%) | FPS cur=42 roll=44 | ETA 318.6h | NaN=0 respawns=0 | disk 0.1GB used, 41.4GB free
[monitor] 66,870/50,000,000 (0.1%) | FPS cur=48 roll=44 | ETA 318.0h | NaN=0 respawns=0 | disk 0.1GB used, 41.3GB free
[monitor] 68,341/50,000,000 (0.1%) | FPS cur=49 roll=44 | ETA 317.2h | NaN=0 respawns=0 | disk 0.1GB used, 41.3GB free
[monitor] 69,834/50,000,000 (0.1%) | FPS cur=50 roll=44 | ETA 316.4h | NaN=0 respawns=0 | disk 0.1GB used, 41.3GB free
[monitor] 71,299/50,000,000 (0.1%) | FPS cur=49 roll=44 | ETA 315.8h | NaN=0 respawns=0 | disk 0.1GB used, 41.3GB free
[monitor] 72,808/50,000,000 (0.1%) | FPS cur=50 roll=44 | ETA 314.9h | NaN=0 respawns=0 | disk 0.1GB used, 41.3GB free
[monitor] 74,294/50,000,000 (0.1%) | FPS cur=49 roll=44 | ETA 314.3h | NaN=0 respawns=0 | disk 0.1GB used, 41.3GB free
[monitor] 75,798/50,000,000 (0.2%) | FPS cur=50 roll=44 | ETA 313.5h | NaN=0 respawns=0 | disk 0.1GB used, 41.3GB free
[monitor] 77,207/50,000,000 (0.2%) | FPS cur=47 roll=44 | ETA 313.2h | NaN=0 respawns=0 | disk 0.1GB used, 41.3GB free
[monitor] 78,674/50,000,000 (0.2%) | FPS cur=49 roll=44 | ETA 312.7h | NaN=0 respawns=0 | disk 0.1GB used, 41.3GB free
[monitor] 80,145/50,000,000 (0.2%) | FPS cur=49 roll=44 | ETA 312.1h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 81,652/50,000,000 (0.2%) | FPS cur=50 roll=45 | ETA 311.5h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 82,944/50,000,000 (0.2%) | FPS cur=43 roll=44 | ETA 311.6h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 84,271/50,000,000 (0.2%) | FPS cur=44 roll=44 | ETA 311.7h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 85,793/50,000,000 (0.2%) | FPS cur=51 roll=45 | ETA 311.0h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 87,259/50,000,000 (0.2%) | FPS cur=49 roll=45 | ETA 310.6h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 88,697/50,000,000 (0.2%) | FPS cur=48 roll=45 | ETA 310.2h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 89,968/50,000,000 (0.2%) | FPS cur=42 roll=45 | ETA 310.5h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 91,433/50,000,000 (0.2%) | FPS cur=49 roll=45 | ETA 310.1h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 92,836/50,000,000 (0.2%) | FPS cur=47 roll=45 | ETA 309.9h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
[monitor] 94,329/50,000,000 (0.2%) | FPS cur=50 roll=45 | ETA 309.4h | NaN=0 respawns=0 | disk 0.2GB used, 41.3GB free
