W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/surrogate-data-collection/runs/i2g89uny
[monitor] 64,500/1,000,000 (6.5%) | FPS cur=17 roll=51 | ETA 5.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 66,000/1,000,000 (6.6%) | FPS cur=50 roll=51 | ETA 5.1h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 69,000/1,000,000 (6.9%) | FPS cur=100 roll=52 | ETA 4.9h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 70,500/1,000,000 (7.0%) | FPS cur=50 roll=52 | ETA 4.9h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 72,500/1,000,000 (7.2%) | FPS cur=67 roll=53 | ETA 4.9h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 72,500/1,000,000 (7.2%) | FPS cur=0 roll=51 | ETA 5.0h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 74,500/1,000,000 (7.4%) | FPS cur=67 roll=52 | ETA 5.0h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 77,000/1,000,000 (7.7%) | FPS cur=83 roll=52 | ETA 4.9h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 79,000/1,000,000 (7.9%) | FPS cur=67 roll=53 | ETA 4.9h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 80,500/1,000,000 (8.1%) | FPS cur=50 roll=53 | ETA 4.9h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 81,000/1,000,000 (8.1%) | FPS cur=17 roll=52 | ETA 4.9h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 83,500/1,000,000 (8.3%) | FPS cur=83 roll=52 | ETA 4.9h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 86,000/1,000,000 (8.6%) | FPS cur=83 roll=53 | ETA 4.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 88,000/1,000,000 (8.8%) | FPS cur=67 roll=53 | ETA 4.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 88,000/1,000,000 (8.8%) | FPS cur=0 roll=52 | ETA 4.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 90,500/1,000,000 (9.0%) | FPS cur=83 roll=53 | ETA 4.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 92,000/1,000,000 (9.2%) | FPS cur=50 roll=53 | ETA 4.8h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 94,500/1,000,000 (9.4%) | FPS cur=83 roll=53 | ETA 4.7h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 96,000/1,000,000 (9.6%) | FPS cur=50 roll=53 | ETA 4.7h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 97,000/1,000,000 (9.7%) | FPS cur=33 roll=53 | ETA 4.7h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 99,000/1,000,000 (9.9%) | FPS cur=67 roll=53 | ETA 4.7h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 102,000/1,000,000 (10.2%) | FPS cur=100 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 103,000/1,000,000 (10.3%) | FPS cur=33 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 104,500/1,000,000 (10.4%) | FPS cur=50 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 106,000/1,000,000 (10.6%) | FPS cur=50 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 108,500/1,000,000 (10.8%) | FPS cur=83 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 110,000/1,000,000 (11.0%) | FPS cur=50 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 112,000/1,000,000 (11.2%) | FPS cur=67 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 112,500/1,000,000 (11.2%) | FPS cur=17 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 114,500/1,000,000 (11.5%) | FPS cur=67 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 116,000/1,000,000 (11.6%) | FPS cur=50 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 119,500/1,000,000 (11.9%) | FPS cur=117 roll=55 | ETA 4.5h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 120,000/1,000,000 (12.0%) | FPS cur=17 roll=54 | ETA 4.5h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 120,500/1,000,000 (12.0%) | FPS cur=17 roll=54 | ETA 4.6h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 123,000/1,000,000 (12.3%) | FPS cur=83 roll=54 | ETA 4.5h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
[monitor] 126,000/1,000,000 (12.6%) | FPS cur=100 roll=55 | ETA 4.5h | NaN=0 respawns=0 | disk 0.0GB used, 44.6GB free
